model,random_state,test_size,n_epochs,batch_size,learning_rate,weight_decay,ROC-AUC,PR-AUC,Accuracy
NN+RF,3,0.3,50,16,0.0001,0.0001,0.5218907400232469,0.341279477478776,0.7627118644067796
NN+RF,3,0.3,50,16,0.0001,0.0001,0.5294459511817124,0.3629270984067074,0.7542372881355932
NN+RF,3,0.3,50,16,0.0001,0.0001,0.5701278574196048,0.33906962256717,0.7457627118644068
NN+RF,3,0.3,50,16,0.0001,0.0001,0.5647036032545525,0.2997304979962671,0.7372881355932204
NN+RF,3,0.3,50,16,0.0001,0.0001,0.5461061604029446,0.3433807126292759,0.7627118644067796
NN+RF,4,0.3,50,16,0.0001,0.0001,0.5629600929872143,0.2942720520419548,0.7457627118644068
NN+RF,4,0.3,50,16,0.0001,0.0001,0.4891514916698954,0.3171890552394574,0.7542372881355932
NN+RF,4,0.3,50,16,0.0001,0.0001,0.542231693142193,0.3518329051442861,0.7711864406779662
NN+RF,4,0.3,50,16,0.0001,0.0001,0.4571871367686944,0.247455783902177,0.7203389830508474
NN+RF,4,0.3,50,16,0.0001,0.0001,0.5309957380860132,0.3193242013305724,0.7372881355932204
NN+RF,5,0.3,50,16,0.0001,0.0001,0.650329329717164,0.3814918354367211,0.7542372881355932
NN+RF,5,0.3,50,16,0.0001,0.0001,0.5683843471522666,0.2982019904925238,0.7288135593220338
NN+RF,5,0.3,50,16,0.0001,0.0001,0.6199147617202635,0.3629447752321093,0.7372881355932204
NN+RF,5,0.3,50,16,0.0001,0.0001,0.5685780705153042,0.2897152543243184,0.7288135593220338
NN+RF,5,0.3,50,16,0.0001,0.0001,0.6111972103835723,0.3393915630480711,0.7203389830508474
NN+RF,21,0.3,50,16,0.0001,0.0001,0.5761332816737699,0.3252522405652759,0.7288135593220338
NN+RF,21,0.3,50,16,0.0001,0.0001,0.5178225493994576,0.2942232318918176,0.7542372881355932
NN+RF,21,0.3,50,16,0.0001,0.0001,0.4804339403332042,0.2474445224391957,0.7033898305084746
NN+RF,21,0.3,50,16,0.0001,0.0001,0.5156915924060442,0.2683807682776014,0.711864406779661
NN+RF,21,0.3,50,16,0.0001,0.0001,0.6007361487795428,0.3271380410589009,0.7457627118644068
NN+RF,21,0.7,50,16,0.0001,0.0001,0.5107794361525705,0.2681217220564854,0.6897810218978102
