model,random_state,test_size,n_epochs,margin,batch_size,learning_rate,weight_decay,scheduler_step_size,scheduler_gamma,lambda_l1,ROC-AUC,PR-AUC,Accuracy,n_layers
Contrastive+Gating_tune,0,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.05,0.5518314366998578,0.3098159121849968,0.6751918158567775,1
Contrastive+Gating_tune,1,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.05,0.554925320056899,0.2831849458157421,0.6956521739130435,1
Contrastive+Gating_tune,2,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.05,0.5968527738264581,0.3140490595728643,0.6828644501278772,1
Contrastive+Gating_tune,3,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.05,0.5581614509246089,0.2839641812205545,0.690537084398977,1
Contrastive+Gating_tune,4,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.05,0.6062411095305832,0.348742801844167,0.680306905370844,1
Contrastive+Gating_tune,5,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.05,0.550906827880512,0.3165498273628246,0.7212276214833759,1
Contrastive+Gating_tune,10,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.05,0.5764580369843528,0.3175866496747791,0.6930946291560103,1
Contrastive+Gating_tune,15,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.05,0.5676209103840683,0.2891632117111566,0.649616368286445,1
Contrastive+Gating_tune,21,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.05,0.5659495021337126,0.2839794531126061,0.6828644501278772,1
Contrastive+Gating_tune,42,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.05,0.5251955903271692,0.2808757550209458,0.6649616368286445,1
Contrastive+Gating_tune,43,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.05,0.4983819345661451,0.25146004519708215,0.6521739130434783,1
