model,random_state,test_size,ROC-AUC,PR-AUC,Accuracy
Random Forest,4,0.3,0.6478109259976753,0.4037721535364877,0.7542372881355932
Logistic Regression,4,0.3,0.5617977528089888,0.3110992150443765,0.635593220338983
Gradient Boosting,4,0.3,0.5648973266175901,0.3254713685082409,0.7372881355932204
Random Forest,4,0.3,0.6478109259976753,0.4037721535364877,0.7542372881355932
Logistic Regression,4,0.3,0.5617977528089888,0.3110992150443765,0.635593220338983
Gradient Boosting,4,0.3,0.5648973266175901,0.3254713685082409,0.7372881355932204
Random Forest,4,0.3,0.6478109259976753,0.4037721535364877,0.7542372881355932
Logistic Regression,4,0.3,0.5617977528089888,0.3110992150443765,0.635593220338983
Gradient Boosting,4,0.3,0.5648973266175901,0.3254713685082409,0.7372881355932204
Random Forest,4,0.3,0.6478109259976753,0.4037721535364877,0.7542372881355932
Logistic Regression,4,0.3,0.5617977528089888,0.3110992150443765,0.635593220338983
Gradient Boosting,4,0.3,0.5648973266175901,0.3254713685082409,0.7372881355932204
Random Forest,4,0.3,0.6478109259976753,0.4037721535364877,0.7542372881355932
Logistic Regression,4,0.3,0.5617977528089888,0.3110992150443765,0.635593220338983
Gradient Boosting,4,0.3,0.5648973266175901,0.3254713685082409,0.7372881355932204
Random Forest,5,0.3,0.6764819837272374,0.3605745142476836,0.7372881355932204
Logistic Regression,5,0.3,0.6853932584269663,0.3605172613611809,0.6101694915254238
Gradient Boosting,5,0.3,0.5691592406044169,0.3484849336980113,0.6949152542372882
Random Forest,5,0.3,0.6764819837272374,0.3605745142476836,0.7372881355932204
Logistic Regression,5,0.3,0.6853932584269663,0.3605172613611809,0.6101694915254238
Gradient Boosting,5,0.3,0.5691592406044169,0.3484849336980113,0.6949152542372882
Random Forest,5,0.3,0.6764819837272374,0.3605745142476836,0.7372881355932204
Logistic Regression,5,0.3,0.6853932584269663,0.3605172613611809,0.6101694915254238
Gradient Boosting,5,0.3,0.5691592406044169,0.3484849336980113,0.6949152542372882
Random Forest,5,0.3,0.6764819837272374,0.3605745142476836,0.7372881355932204
Logistic Regression,5,0.3,0.6853932584269663,0.3605172613611809,0.6101694915254238
Gradient Boosting,5,0.3,0.5691592406044169,0.3484849336980113,0.6949152542372882
Random Forest,5,0.3,0.6764819837272374,0.3605745142476836,0.7372881355932204
Logistic Regression,5,0.3,0.6853932584269663,0.3605172613611809,0.6101694915254238
Gradient Boosting,5,0.3,0.5691592406044169,0.3484849336980113,0.6949152542372882
Random Forest,21,0.3,0.604804339403332,0.3721737988201797,0.7542372881355932
Logistic Regression,21,0.3,0.6268888027896165,0.3532612607979483,0.5677966101694916
Gradient Boosting,21,0.3,0.5850445563734987,0.3556705913686523,0.7203389830508474
