model,random_state,test_size,n_epochs,margin,batch_size,learning_rate,weight_decay,scheduler_step_size,scheduler_gamma,ROC-AUC,PR-AUC,Accuracy
Contrastive,2,0.5,100,0.3,32,0.0005,1e-08,300,0.01,0.5949324324324323,0.3288679861889432,0.690537084398977
Contrastive,2,0.5,100,0.3,32,0.0005,1e-08,300,0.01,0.6321834992887625,0.3183282397626772,0.710997442455243
Contrastive,3,0.5,100,0.3,32,0.0005,1e-08,300,0.01,0.602560455192034,0.3043927859630772,0.6930946291560103
Contrastive,3,0.5,100,0.3,32,0.0005,1e-08,300,0.01,0.6067923186344238,0.3027176847600574,0.7033248081841432
Contrastive,3,0.5,100,0.3,32,0.0005,1e-08,300,0.01,0.6296230440967282,0.3379199740020668,0.7237851662404092
Contrastive,4,0.5,100,0.3,32,0.0005,1e-08,300,0.01,0.5727773826458036,0.297898016264374,0.710997442455243
Contrastive,4,0.5,100,0.3,32,0.0005,1e-08,300,0.01,0.6080547652916075,0.322161284759593,0.7058823529411765
Contrastive,4,0.5,100,0.3,32,0.0005,1e-08,300,0.01,0.612624466571835,0.3050706704468782,0.6930946291560103
Contrastive,5,0.5,100,0.3,32,0.0005,1e-08,300,0.01,0.6039829302987197,0.3505129935801007,0.7340153452685422
Contrastive,5,0.5,100,0.3,32,0.0005,1e-08,300,0.01,0.5974928876244665,0.3221366798583308,0.7084398976982097
Contrastive,5,0.5,100,0.3,32,0.0005,1e-08,300,0.01,0.5860241820768136,0.3384179166417793,0.7391304347826086
Contrastive,21,0.5,100,0.3,32,0.0005,1e-08,300,0.01,0.5829125177809389,0.2887296959760413,0.7033248081841432
Contrastive,21,0.5,100,0.3,32,0.0005,1e-08,300,0.01,0.6097972972972974,0.3312750189826486,0.7058823529411765
Contrastive,21,0.5,100,0.3,32,0.0005,1e-08,300,0.01,0.5965149359886202,0.3268002408827507,0.731457800511509
Contrastive,42,0.5,100,0.3,32,0.0005,1e-08,300,0.01,0.5795874822190612,0.315198691349959,0.7212276214833759
Contrastive,42,0.5,100,0.3,32,0.0005,1e-08,300,0.01,0.5468705547652916,0.3308201661506102,0.7161125319693095
Contrastive,42,0.5,100,0.3,32,0.0005,1e-08,300,0.01,0.5911273115220483,0.3223495771555377,0.7263427109974424
Contrastive,0,0.66,100,0.3,32,0.0005,1e-08,300,0.01,0.5354951991465149,0.283536248117089,0.7097186700767263
Contrastive,0,0.66,100,0.3,32,0.0005,1e-08,300,0.01,0.5480129800853485,0.2859557013567507,0.6764705882352942
Contrastive,0,0.66,100,0.3,32,0.0005,1e-08,300,0.01,0.5670697012802276,0.2882277921746524,0.6854219948849105
Contrastive,1,0.66,100,0.3,32,0.0005,1e-08,300,0.01,0.5327435988620199,0.2715585290388123,0.680306905370844
Contrastive,1,0.66,100,0.3,32,0.0005,1e-08,300,0.01,0.5706658961593172,0.3032141182899135,0.6982097186700768
Contrastive,1,0.66,100,0.3,32,0.0005,1e-08,300,0.01,0.5398915362731153,0.2885493406736156,0.7007672634271099
Contrastive,2,0.66,100,0.3,32,0.0005,1e-08,300,0.01,0.5410650782361309,0.269629177902829,0.6828644501278772
Contrastive,2,0.66,100,0.3,32,0.0005,1e-08,300,0.01,0.58224573257468,0.2982290339098599,0.6943734015345269
Contrastive,2,0.66,100,0.3,32,0.0005,1e-08,300,0.01,0.5197457325746799,0.2542948540126848,0.6726342710997443
Contrastive,3,0.66,100,0.3,32,0.0005,1e-08,300,0.01,0.5776182432432433,0.2919341492186173,0.7007672634271099
Contrastive,3,0.66,100,0.3,32,0.0005,1e-08,300,0.01,0.5554142958748223,0.2959449655674288,0.7020460358056266
